状态栈后10个                                           符号栈后10个                                           输入前10个                                            动作                                                
0 1 6 14 53                                       stmts id2 = num                                   a = a * ( c - b ) /                               (53,id)→r39：根据factor→num 归约：将状态栈和符号栈都出栈1个，再将factor加到符号栈里，再(14,factor)→49
0 1 6 14 49                                       stmts id2 = factor                                a = a * ( c - b ) /                               (49,id)→r36：根据unary→factor归约：将状态栈和符号栈都出栈1个，再将unary加到符号栈里，再(14,unary)→46
0 1 6 14 46                                       stmts id2 = unary                                 a = a * ( c - b ) /                               (46,id)→r33：根据term→unary 归约：将状态栈和符号栈都出栈1个，再将term加到符号栈里，再(14,term)→45
0 1 6 14 45                                       stmts id2 = term                                  a = a * ( c - b ) /                               (45,id)→r29：根据expr→term 归约：将状态栈和符号栈都出栈1个，再将expr加到符号栈里，再(14,expr)→44
0 1 6 14 44                                       stmts id2 = expr                                  a = a * ( c - b ) /                               (44,id)→r26：根据rel→expr 归约：将状态栈和符号栈都出栈1个，再将rel加到符号栈里，再(14,rel)→43
0 1 6 14 43                                       stmts id2 = rel                                   a = a * ( c - b ) /                               (43,id)→r21：根据equality→rel 归约：将状态栈和符号栈都出栈1个，再将equality加到符号栈里，再(14,equality)→42
0 1 6 14 42                                       stmts id2 = equality                              a = a * ( c - b ) /                               (42,id)→r18：根据join→equality归约：将状态栈和符号栈都出栈1个，再将join加到符号栈里，再(14,join)→41
0 1 6 14 41                                       stmts id2 = join                                  a = a * ( c - b ) /                               (41,id)→r16：根据bool→join归约：将状态栈和符号栈都出栈1个，再将bool加到符号栈里，再(14,bool)→39
0 1 6 14 39                                       stmts id2 = bool                                  a = a * ( c - b ) /                               (39,id)→r78：根据s2→bool归约：将状态栈和符号栈都出栈1个，再将s2加到符号栈里，再(14,s2)→37
0 1 6 14 37                                       stmts id2 = s2                                    a = a * ( c - b ) /                               (37,id)→r7：根据s→id2 = s2归约：将状态栈和符号栈都出栈3个，再将s加到符号栈里，再(1,s)→3
0 1 3                                             stmts s                                           a = a * ( c - b ) /                               (3,id)→r5：根据stmt→s归约：将状态栈和符号栈都出栈1个，再将stmt加到符号栈里，再(1,stmt)→2
0 1 2                                             stmts stmt                                        a = a * ( c - b ) /                               (2,id)→r1：根据stmts→stmts stmt 归约：将状态栈和符号栈都出栈2个，再将stmts加到符号栈里，再(0,stmts)→1
0 1                                               stmts                                             a = a * ( c - b ) /                               (1,id)→s7
0 1 7                                             stmts id                                          = a * ( c - b ) / (                               (7,=)→r76：根据id2→id归约：将状态栈和符号栈都出栈1个，再将id2加到符号栈里，再(1,id2)→6
0 1 6                                             stmts id2                                         = a * ( c - b ) / (                               (6,=)→s14
0 1 6 14                                          stmts id2 =                                       a * ( c - b ) / ( -                               (14,id)→s40
0 1 6 14 40                                       stmts id2 = id                                    * ( c - b ) / ( - c                               (40,*)→r76：根据id2→id归约：将状态栈和符号栈都出栈1个，再将id2加到符号栈里，再(14,id2)→38
0 1 6 14 38                                       stmts id2 = id2                                   * ( c - b ) / ( - c                               (38,*)→r38：根据factor→id2归约：将状态栈和符号栈都出栈1个，再将factor加到符号栈里，再(14,factor)→49
0 1 6 14 49                                       stmts id2 = factor                                * ( c - b ) / ( - c                               (49,*)→r36：根据unary→factor归约：将状态栈和符号栈都出栈1个，再将unary加到符号栈里，再(14,unary)→46
0 1 6 14 46                                       stmts id2 = unary                                 * ( c - b ) / ( - c                               (46,*)→r33：根据term→unary 归约：将状态栈和符号栈都出栈1个，再将term加到符号栈里，再(14,term)→45
0 1 6 14 45                                       stmts id2 = term                                  * ( c - b ) / ( - c                               (45,*)→s186
0 1 6 14 45 186                                   stmts id2 = term *                                ( c - b ) / ( - c +                               (186,()→s52
0 1 6 14 45 186 52                                stmts id2 = term * (                              c - b ) / ( - c + a                               (52,id)→s173
0 1 6 14 45 186 52 173                            stmts id2 = term * ( id                           - b ) / ( - c + a %                               (173,-)→r76：根据id2→id归约：将状态栈和符号栈都出栈1个，再将id2加到符号栈里，再(52,id2)→154
0 1 6 14 45 186 52 154                            stmts id2 = term * ( id2                          - b ) / ( - c + a %                               (154,-)→r38：根据factor→id2归约：将状态栈和符号栈都出栈1个，再将factor加到符号栈里，再(52,factor)→150
0 1 6 14 45 186 52 150                            stmts id2 = term * ( factor                       - b ) / ( - c + a %                               (150,-)→r36：根据unary→factor归约：将状态栈和符号栈都出栈1个，再将unary加到符号栈里，再(52,unary)→147
0 1 6 14 45 186 52 147                            stmts id2 = term * ( unary                        - b ) / ( - c + a %                               (147,-)→r33：根据term→unary 归约：将状态栈和符号栈都出栈1个，再将term加到符号栈里，再(52,term)→146
0 1 6 14 45 186 52 146                            stmts id2 = term * ( term                         - b ) / ( - c + a %                               (146,-)→r29：根据expr→term 归约：将状态栈和符号栈都出栈1个，再将expr加到符号栈里，再(52,expr)→145
0 1 6 14 45 186 52 145                            stmts id2 = term * ( expr                         - b ) / ( - c + a %                               (145,-)→s357
0 1 6 14 45 186 52 145 357                        stmts id2 = term * ( expr -                       b ) / ( - c + a % 2                               (357,id)→s173
0 1 6 14 45 186 52 145 357 173                    stmts id2 = term * ( expr - id                    ) / ( - c + a % 2 )                               (173,))→r76：根据id2→id归约：将状态栈和符号栈都出栈1个，再将id2加到符号栈里，再(357,id2)→154
0 1 6 14 45 186 52 145 357 154                    stmts id2 = term * ( expr - id2                   ) / ( - c + a % 2 )                               (154,))→r38：根据factor→id2归约：将状态栈和符号栈都出栈1个，再将factor加到符号栈里，再(357,factor)→150
0 1 6 14 45 186 52 145 357 150                    stmts id2 = term * ( expr - factor                ) / ( - c + a % 2 )                               (150,))→r36：根据unary→factor归约：将状态栈和符号栈都出栈1个，再将unary加到符号栈里，再(357,unary)→147
0 1 6 14 45 186 52 145 357 147                    stmts id2 = term * ( expr - unary                 ) / ( - c + a % 2 )                               (147,))→r33：根据term→unary 归约：将状态栈和符号栈都出栈1个，再将term加到符号栈里，再(357,term)→677
0 1 6 14 45 186 52 145 357 677                    stmts id2 = term * ( expr - term                  ) / ( - c + a % 2 )                               (677,))→r28：根据expr→expr - term 归约：将状态栈和符号栈都出栈3个，再将expr加到符号栈里，再(52,expr)→145
0 1 6 14 45 186 52 145                            stmts id2 = term * ( expr                         ) / ( - c + a % 2 )                               (145,))→r26：根据rel→expr 归约：将状态栈和符号栈都出栈1个，再将rel加到符号栈里，再(52,rel)→144
0 1 6 14 45 186 52 144                            stmts id2 = term * ( rel                          ) / ( - c + a % 2 )                               (144,))→r21：根据equality→rel 归约：将状态栈和符号栈都出栈1个，再将equality加到符号栈里，再(52,equality)→143
0 1 6 14 45 186 52 143                            stmts id2 = term * ( equality                     ) / ( - c + a % 2 )                               (143,))→r18：根据join→equality归约：将状态栈和符号栈都出栈1个，再将join加到符号栈里，再(52,join)→142
