状态栈后10个                                           符号栈后10个                                           输入前10个                                            动作                                                
0                                                                                                   a = Φ ( - 2 ) , b =                               (0,id)→r2：根据stmts→ε 归约：将状态栈和符号栈都出栈0个，再将stmts加到符号栈里，再(0,stmts)→1
0 1                                               stmts                                             a = Φ ( - 2 ) , b =                               (1,id)→s7
0 1 7                                             stmts id                                          = Φ ( - 2 ) , b = u                               (7,=)→r76：根据id2→id归约：将状态栈和符号栈都出栈1个，再将id2加到符号栈里，再(1,id2)→6
0 1 6                                             stmts id2                                         = Φ ( - 2 ) , b = u                               (6,=)→s14
0 1 6 14                                          stmts id2 =                                       Φ ( - 2 ) , b = u [                               (14,Φ)→s69
0 1 6 14 69                                       stmts id2 = Φ                                     ( - 2 ) , b = u [ 0.025                           (69,()→s211
0 1 6 14 69 211                                   stmts id2 = Φ (                                   - 2 ) , b = u [ 0.025 ]                           (211,-)→s149
0 1 6 14 69 211 149                               stmts id2 = Φ ( -                                 2 ) , b = u [ 0.025 ] ,                           (149,num)→s155
0 1 6 14 69 211 149 155                           stmts id2 = Φ ( - num                             ) , b = u [ 0.025 ] , c                           (155,))→r39：根据factor→num 归约：将状态栈和符号栈都出栈1个，再将factor加到符号栈里，再(149,factor)→150
0 1 6 14 69 211 149 150                           stmts id2 = Φ ( - factor                          ) , b = u [ 0.025 ] , c                           (150,))→r36：根据unary→factor归约：将状态栈和符号栈都出栈1个，再将unary加到符号栈里，再(149,unary)→362
0 1 6 14 69 211 149 362                           stmts id2 = Φ ( - unary                           ) , b = u [ 0.025 ] , c                           (362,))→r35：根据unary→- unary归约：将状态栈和符号栈都出栈2个，再将unary加到符号栈里，再(211,unary)→147
0 1 6 14 69 211 147                               stmts id2 = Φ ( unary                             ) , b = u [ 0.025 ] , c                           (147,))→r33：根据term→unary 归约：将状态栈和符号栈都出栈1个，再将term加到符号栈里，再(211,term)→146
0 1 6 14 69 211 146                               stmts id2 = Φ ( term                              ) , b = u [ 0.025 ] , c                           (146,))→r29：根据expr→term 归约：将状态栈和符号栈都出栈1个，再将expr加到符号栈里，再(211,expr)→145
0 1 6 14 69 211 145                               stmts id2 = Φ ( expr                              ) , b = u [ 0.025 ] , c                           (145,))→r26：根据rel→expr 归约：将状态栈和符号栈都出栈1个，再将rel加到符号栈里，再(211,rel)→144
0 1 6 14 69 211 144                               stmts id2 = Φ ( rel                               ) , b = u [ 0.025 ] , c                           (144,))→r21：根据equality→rel 归约：将状态栈和符号栈都出栈1个，再将equality加到符号栈里，再(211,equality)→143
